website_name;competence_date;country_code;currency_code;listing_id;operation_type;property_type;title;price;price_original;price_per_sqm;area_sqm;rooms;bathrooms;floor;has_elevator;has_parking;has_terrace;has_garden;has_pool;energy_certificate;region;city;neighborhood;address_raw;latitude;longitude;agency_name;contact_phone;description;itemurl;imageurl
rightmove.co.uk;2026-09-20;GBR;GBP;152236991;sale;Flat;Flat in Whistler Square, London, SW1W;47000000;47000000;38714.99;1214.0;7;1;;;;;;;;Greater London;London;Whistler Square, London, SW1W;Whistler Square, London, SW1W;51.5074;-0.1278;Clifton Property Partners Ltd, London;;A Stunning freehold house of 13,067 square feet within the iconic Chelsea Barracks development.;https://www.rightmove.co.uk/properties/152236991;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;152236991;sale;Flat;Flat in Whistler Square, London, SW1W;47000000;47000000;38714.99;1214.0;7;1;;;;;;;;Greater London;London;Whistler Square, London, SW1W;Whistler Square, London, SW1W;51.5074;-0.1278;Clifton Property Partners Ltd, London;;A Stunning freehold house of 13,067 square feet within the iconic Chelsea Barracks development.;https://www.rightmove.co.uk/properties/152236991;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;158528285;sale;Apartment;Apartment in One Hyde Park, Knightsbridge, London, SW1X;46000000;46000000;270588.24;170.0;5;1;;;;;;;;Greater London;London;One Hyde Park, Knightsbridge, London, SW1X;One Hyde Park, Knightsbridge, London, SW1X;51.5074;-0.1278;Global 1, London;;An extraordinary five-bedroom residence in One Hyde Park Knightsbridge, one of the most prestigious and exclusive developments in the world. The residence has been masterfully designed and finished to the highest standards, offering an exceptional blend of space, style, and sophistication.;https://www.rightmove.co.uk/properties/158528285;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/camera-white.579a6efc.svg
rightmove.co.uk;2026-09-20;GBR;GBP;158528285;sale;Apartment;Apartment in One Hyde Park, Knightsbridge, London, SW1X;46000000;46000000;270588.24;170.0;5;1;;;;;;;;Greater London;London;One Hyde Park, Knightsbridge, London, SW1X;One Hyde Park, Knightsbridge, London, SW1X;51.5074;-0.1278;Global 1, London;;An extraordinary five-bedroom residence in One Hyde Park Knightsbridge, one of the most prestigious and exclusive developments in the world. The residence has been masterfully designed and finished to the highest standards, offering an exceptional blend of space, style, and sophistication.;https://www.rightmove.co.uk/properties/158528285;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/camera-white.579a6efc.svg
rightmove.co.uk;2026-09-20;GBR;GBP;173738432;sale;Flat;Flat in Cornwall Gardens, London, SW7;45000000;45000000;113924.05;395.0;14;1;;;;;;;;Greater London;London;Cornwall Gardens, London, SW7;Cornwall Gardens, London, SW7;51.5074;-0.1278;United Kingdom Sotheby's International Realty, Kensington;;A Prime Freehold Residential Building Overlooking Cornwall Gardens;https://www.rightmove.co.uk/properties/173738432;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;173738432;sale;Flat;Flat in Cornwall Gardens, London, SW7;45000000;45000000;113924.05;395.0;14;1;;;;;;;;Greater London;London;Cornwall Gardens, London, SW7;Cornwall Gardens, London, SW7;51.5074;-0.1278;United Kingdom Sotheby's International Realty, Kensington;;A Prime Freehold Residential Building Overlooking Cornwall Gardens;https://www.rightmove.co.uk/properties/173738432;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;171587372;sale;Terraced;Terraced in Upper Brook Street, London, W1K;42500000;42500000;217948.72;195.0;6;1;;;;;;;;Greater London;London;Upper Brook Street, London, W1K;Upper Brook Street, London, W1K;51.5074;-0.1278;a passenger lift, offering elegant reception spaces and generous bedroom accommodation.;;An exceptional and important Grade II Listed Mayfair residence of impressive scale, combining high ceilings, classical proportions with extensive leisure and entertaining amenities. All floors served by a passenger lift, offering elegant reception spaces and generous bedroom accommodation.;https://www.rightmove.co.uk/properties/171587372;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;171587372;sale;Terraced;Terraced in Upper Brook Street, London, W1K;42500000;42500000;217948.72;195.0;6;1;;;;;;;;Greater London;London;Upper Brook Street, London, W1K;Upper Brook Street, London, W1K;51.5074;-0.1278;a passenger lift, offering elegant reception spaces and generous bedroom accommodation.;;An exceptional and important Grade II Listed Mayfair residence of impressive scale, combining high ceilings, classical proportions with extensive leisure and entertaining amenities. All floors served by a passenger lift, offering elegant reception spaces and generous bedroom accommodation.;https://www.rightmove.co.uk/properties/171587372;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;171790859;sale;Flat;Flat in Upper Brook Street, London, W1K;42500000;42500000;217948.72;195.0;6;1;;;;;;;;Greater London;London;Upper Brook Street, London, W1K;Upper Brook Street, London, W1K;51.5074;-0.1278;CBRE Residential, Central London;;Grade II Listed, seven floor Georgian Townhouse on one of Mayfairs most exclusive addresses An architectural masterpiece in the heart of Mayfair, 50 Upper Brook Street is a fully refurbished Grade II Listed Georgian townhouse blending timeless heritage with sleek contemporar...;https://www.rightmove.co.uk/properties/171790859;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
rightmove.co.uk;2026-09-20;GBR;GBP;171790859;sale;Flat;Flat in Upper Brook Street, London, W1K;42500000;42500000;217948.72;195.0;6;1;;;;;;;;Greater London;London;Upper Brook Street, London, W1K;Upper Brook Street, London, W1K;51.5074;-0.1278;CBRE Residential, Central London;;Grade II Listed, seven floor Georgian Townhouse on one of Mayfairs most exclusive addresses An architectural masterpiece in the heart of Mayfair, 50 Upper Brook Street is a fully refurbished Grade II Listed Georgian townhouse blending timeless heritage with sleek contemporar...;https://www.rightmove.co.uk/properties/171790859;https://media.rightmove.co.uk/assets/7bb483729b5a8e26f73e1831cde5b842/_next/static/media/floorplan-white.97dae32e.svg
